reduction,model,trial1,trial2,trial3,mean,std
Normal,RF,0.559,0.618,0.511,0.562666667,0.053594154
Normal,KNN,0.335,0.319,0.332,0.328666667,0.008504901
Normal,XGB,0.582,0.591,0.562,0.578333333,0.014843629
Normal,SVM,0.35,0.367,0.346,0.354333333,0.011150486
Normal,Ensemble,0.453,0.618,0.512,0.527666667,0.083608213
NMF,RF,1,1,0.987,0.995666667,0.007505553
NMF,KNN,0.459,0.428,0.434,0.440333333,0.016441817
NMF,XGB,1,1,0.989,0.996333333,0.006350853
NMF,SVM,0.486,0.702,0.4014,0.5298,0.155012645
NMF,Ensemble,1,1,0.987,0.995666667,0.007505553
PCA,RF,0.548,0.482,0.506,0.512,0.033406586
PCA,KNN,0.518,0.528,0.489,0.511666667,0.020256686
PCA,XGB,0.671,0.618,0.585,0.624666667,0.043385866
PCA,SVM,0.676,0.703,0.604,0.661,0.051176166
PCA,Ensemble,0.548,0.602,0.506,0.552,0.048124838
